"id","courses_id","availability_id","time_start","time_end","spots","pontifex_id","spots_taken","created_at","updated_at"
328,1,2018,"08:30:00","17:00:00",20,0,"","","2020-03-24 08:56:42"
330,1,2021,"08:30:00","17:00:00",0,0,"{""4"":1,""5"":4,""1"":2}","","2020-09-17 09:37:28"
332,1,2023,"08:30:00","17:00:00",20,0,"","","2020-09-14 10:47:26"
336,1,2029,"08:30:00","17:00:00",20,0,"","","2020-03-24 09:11:50"
339,1,2032,"08:30:00","17:00:00",19,0,"{""1"":1}","","2020-09-30 09:56:09"
341,1,2035,"08:30:00","17:00:00",19,0,"{""1"":1}","","2020-10-05 15:52:38"
343,1,2037,"08:30:00","17:00:00",17,0,"{""4"":3}","","2020-09-15 18:38:18"
345,1,2039,"08:30:00","17:00:00",20,0,"","","2020-03-24 09:06:01"
351,1,2048,"08:30:00","17:00:00",2,0,"{""4"":2,""1"":1}","","2020-09-25 10:56:08"
352,1,2049,"08:30:00","17:00:00",0,0,"{""4"":1}","","2020-09-25 10:56:08"
354,1,2051,"08:30:00","17:00:00",5,0,"{""1"":1}","","2020-09-25 10:56:08"
356,1,2054,"08:30:00","17:00:00",18,0,"{""1"":2}","","2020-10-02 19:46:24"
358,1,2056,"08:30:00","17:00:00",18,0,"{""1"":2}","","2020-09-15 17:46:34"
360,1,2058,"08:30:00","17:00:00",0,0,"","","2020-07-24 08:45:57"
365,1,2063,"08:30:00","17:00:00",20,0,"","","2020-07-24 08:45:57"
369,1,2208,"","",14,0,"{""1"":3,""4"":2,""27"":1}","","2020-09-30 22:46:51"
371,1,2210,"","",20,0,"","","2020-10-01 08:19:50"
372,1,2211,"","",19,0,"{""1"":1}","","2020-10-01 08:19:50"
373,1,2212,"","",11,0,"{""8"":1,""2"":4,""1"":4}","","2020-09-15 11:47:58"
374,1,2213,"","",20,0,"","","2020-10-01 08:19:50"
375,1,2214,"","",20,0,"","","2020-10-01 08:19:50"
376,1,2215,"","",11,0,"{""4"":3,""11"":2,""1"":1}","","2020-10-05 14:40:32"
378,1,2217,"","",8,0,"{""4"":1,""1"":1}","","2020-09-25 15:38:18"
379,1,2218,"","",4,0,"{""1"":12,""4"":1}","","2020-09-25 15:38:18"
380,1,2219,"","",10,0,"","","2020-09-25 15:38:18"
381,1,2220,"","",10,0,"","","2020-09-25 15:38:18"
382,1,2221,"","",6,0,"{""1"":3,""4"":1}","","2020-09-25 15:38:18"
383,1,2222,"","",2,0,"{""4"":4,""1"":2}","","2020-09-22 19:43:01"
384,1,2223,"","",8,0,"{""1"":1}","","2020-10-05 10:49:22"
386,1,2225,"","",9,0,"","","2020-10-05 10:49:22"
387,1,2226,"","",9,0,"","","2020-10-05 10:49:22"
388,1,2227,"","",0,0,"{""1"":7,""4"":1,""45"":1}","","2020-10-05 11:35:32"
389,1,2228,"","",0,0,"{""4"":4,""1"":2,""12"":1}","","2020-09-09 13:13:35"
390,1,2229,"","",9,0,"","","2020-10-05 10:49:22"
391,1,2230,"","",9,0,"","","2020-10-05 10:49:22"
392,1,2231,"","",2,0,"{""4"":1,""11"":2}","","2020-10-05 10:49:22"
393,1,2232,"","",0,0,"{""11"":3,""1"":5,""4"":2,""2"":10}","","2020-09-28 08:48:00"
394,1,2233,"","",0,0,"{""1"":2,""4"":3,""12"":1,""45"":1}","","2020-09-30 12:52:10"
396,1,2235,"","",9,0,"{""1"":1}","","2020-10-05 16:05:23"
397,1,2236,"","",9,0,"{""4"":1}","","2020-10-05 10:48:55"
398,1,2237,"","",0,0,"{""4"":2,""1"":8}","","2020-09-30 12:52:10"
399,1,2238,"","",0,0,"{""4"":4,""1"":1,""45"":1}","","2020-09-09 09:00:58"
400,1,2239,"","",10,0,"","","2020-09-30 12:52:10"
401,1,2240,"","",5,0,"{""1"":2,""4"":1}","","2020-10-02 10:32:06"
402,1,2241,"","",0,0,"{""1"":6,""4"":2}","","2020-10-02 11:25:49"
404,1,2243,"","",13,0,"","","2020-10-02 11:25:49"
405,1,2244,"","",13,0,"{""1"":1}","","2020-10-02 11:25:49"
406,1,2245,"","",11,0,"{""1"":2}","","2020-10-02 11:25:49"
407,1,2246,"","",6,0,"{""4"":4}","","2020-10-03 14:37:54"
409,1,2248,"","",9,0,"{""1"":1}","","2020-09-24 19:43:56"
410,1,2249,"","",9,0,"{""1"":1}","","2020-09-29 09:19:01"
411,1,2250,"","",0,0,"{""1"":4,""4"":4}","","2020-10-01 17:06:38"
413,1,2252,"","",7,0,"{""4"":1}","","2020-10-01 11:29:02"
414,1,2253,"","",7,0,"{""1"":1}","","2020-09-28 14:49:20"
415,1,2254,"","",20,0,"","","2020-09-21 09:04:18"
416,1,2255,"","",1,0,"{""12"":3,""4"":2,""1"":3}","","2020-09-21 09:04:18"
417,1,2256,"","",18,0,"{""11"":1,""4"":1}","","2020-09-28 09:33:20"
418,1,2257,"","",0,0,"{""4"":1,""1"":6}","","2020-09-24 11:58:00"
419,1,2258,"","",0,0,"{""1"":6,""4"":2,""12"":1}","","2020-09-23 09:22:29"
421,1,2260,"","",8,0,"","","2020-09-23 09:22:29"
422,1,2261,"","",15,0,"","","2020-09-25 10:21:52"
423,1,2262,"","",12,0,"{""1"":2,""11"":1}","","2020-10-01 10:54:12"
425,1,2264,"","",14,0,"{""1"":1}","","2020-09-28 13:52:39"
427,1,2266,"","",15,0,"","","2020-09-25 10:21:52"
428,1,2267,"","",8,0,"{""4"":2,""1"":5}","","2020-10-02 14:59:36"
429,1,2268,"","",14,0,"{""6"":1}","","2020-10-02 14:18:53"
430,1,2269,"","",0,0,"{""1"":11,""4"":3,""11"":2}","","2020-10-02 13:15:23"
431,1,2270,"","",14,0,"{""4"":1}","","2020-09-25 10:21:52"
432,1,2271,"","",5,0,"{""1"":4,""4"":3,""6"":1,""5"":1}","","2020-09-11 13:54:20"
433,1,2272,"","",15,0,"","","2020-09-25 10:21:52"
434,1,2273,"","",12,0,"{""1"":3}","","2020-09-25 10:21:52"
435,1,2274,"","",9,0,"{""6"":1,""1"":1,""11"":2,""2"":1,""4"":1}","","2020-10-05 14:54:32"
436,1,2275,"","",5,0,"{""1"":1,""4"":9,""2"":1,""12"":7}","","2020-09-21 11:34:26"
437,1,2276,"","",15,0,"","","2020-09-25 10:21:52"
438,1,2277,"","",14,0,"{""1"":1}","","2020-09-25 10:21:52"
439,1,2278,"","",13,0,"{""1"":1,""4"":1}","","2020-09-25 10:21:52"
440,1,2279,"","",0,0,"{""6"":2,""4"":17,""1"":2,""45"":1}","","2020-09-28 11:40:42"
441,1,2280,"","",15,0,"","","2020-09-25 10:21:52"
442,1,2297,"","",0,0,"{""1"":9,""4"":2}","","2020-10-05 09:05:24"
